id,Hf,Gf,CP,S
SiO2(s),-910.94,-856.64,44.43,41.84
Ag(s),0,0,25.35,42.55
Ag+(aq),105.58,77.11,,72.68
Ag2O(s),-31.05,-11.2,65.86,121.3
AgBr(s),-100.03,-96.9,52.38,107.1
AgBr(aq),-15.98,-26.86,,155.2
AgCl(s),-127.07,-109.79,50.79,96.2
AgCl(aq),-61.58,-54.12,,129.3
AgI(s),-61.84,-66.19,56.82,115.5
AgI(aq),50.38,25.52,,184.1
AgNO3(s),-124.39,-33.41,93.05,140.9
Na(s),0,0,28.24,51.21
Na(g),107.32,76.76,20.79,153.71
Na+(aq),-240.12,-261.91,,59
NaOH(s),-425.61,-379.49,59.54,64.46
NaOH(aq),-470.11,-419.15,,48.1
NaCl(s),-411.15,-384.14,50.5,72.13
NaBr(s),-361.06,-348.98,51.38,86.82
NaI(s),-287.78,-286.06,52.09,98.53
S(rombico),0,0,22.64,31.8
S(monoclinico),0.33,0.1,23.6,32.6
S^2-(aq),33.1,85.8,,-14.6
SO2(g),-296.83,-300.19,39.87,248.22
SO3(g),-395.72,-371.06,50.67,256.76
H2SO4(l),-813.99,-690,138.9,156.9
SO4^2-(aq),-909.27,-744.53,,20.1
HSO4-(aq),-997.34,-755.91,,131.8
H2S(g),-20.63,-33.56,34.23,205.79
H2S(aq),-39.7,-27.83,,121
SF6(g),-1209,-1105.3,97.28,291.82
Sn(white),0,0,26.99,51.55
Sn(gray),-2.09,0.13,25.77,44.14
SnO(s),-285.8,-256.9,44.31,56.5
SnO2(s),-580.7,-519.6,52.59,52.3
Zn(s),0,0,25.4,41.63
Zn^2+(aq),-153.8,-147.06,,-112.1
ZnO(s),-348.28,-318.3,40.25,43.64
ZnS(s),,,45.71,
